time,sensor_data.mean_value,source_id,type
2019-03-27T21:00:00.000Z,28.38185185185186,25,3
2019-03-27T21:00:00.000Z,48.053432098765455,26,2
2019-03-27T21:00:00.000Z,26.175999999999952,26,3
2019-03-27T21:00:00.000Z,57.41943209876542,28,2
2019-03-27T21:00:00.000Z,27.805358024691344,28,3
2019-03-27T21:00:00.000Z,43.80424691358021,30,2
2019-03-27T21:00:00.000Z,28.13271604938271,30,3
2019-03-27T21:00:00.000Z,57.26648514851488,32,2
2019-03-27T21:00:00.000Z,27.997425742574116,32,3
2019-03-27T22:00:00.000Z,52.35475247524746,17,2
2019-03-27T22:00:00.000Z,19.279999999999927,17,3
2019-03-27T22:00:00.000Z,52.51356435643566,18,2
2019-03-27T22:00:00.000Z,16.567475247524772,18,3
2019-03-27T22:00:00.000Z,51.386856435643594,19,2
2019-03-27T22:00:00.000Z,16.0067821782179,19,3
2019-03-27T22:00:00.000Z,47.196782178217816,20,2
2019-03-27T22:00:00.000Z,16.6000000000001,20,3
2019-03-27T22:00:00.000Z,48.52943069306932,21,2
2019-03-27T22:00:00.000Z,26.8001732673267,21,3
2019-03-27T22:00:00.000Z,46.84846534653469,22,2
2019-03-27T22:00:00.000Z,18.553069306930723,22,3
2019-03-27T22:00:00.000Z,52.81044554455444,23,2
2019-03-27T22:00:00.000Z,32.07492574257437,23,3
2019-03-27T22:00:00.000Z,54.60081683168314,24,2
2019-03-27T22:00:00.000Z,24.393539603960438,24,3
2019-03-27T22:00:00.000Z,49.88383663366339,25,2
2019-03-27T22:00:00.000Z,28.298094059405976,25,3
2019-03-27T22:00:00.000Z,49.138539603960425,26,2
2019-03-27T22:00:00.000Z,24.570074257425738,26,3
2019-03-27T22:00:00.000Z,57.396460396039544,28,2
2019-03-27T22:00:00.000Z,27.803514851485147,28,3
2019-03-27T22:00:00.000Z,43.4496534653465,30,2
2019-03-27T22:00:00.000Z,28.24504950495044,30,3
2019-03-27T22:00:00.000Z,57.23649382716053,32,2
2019-03-27T22:00:00.000Z,28.026617283950472,32,3
2019-03-27T23:00:00.000Z,49.25609876543206,17,2
2019-03-27T23:00:00.000Z,19.279999999999927,17,3
2019-03-27T23:00:00.000Z,52.66380246913576,18,2
2019-03-27T23:00:00.000Z,16.444592592592596,18,3
2019-03-27T23:00:00.000Z,51.36358024691364,19,2
2019-03-27T23:00:00.000Z,15.971358024691392,19,3
2019-03-27T23:00:00.000Z,46.642913580246905,20,2
2019-03-27T23:00:00.000Z,16.600000000000104,20,3
2019-03-27T23:00:00.000Z,49.317530864197465,21,2
2019-03-27T23:00:00.000Z,26.198716049382725,21,3
2019-03-27T23:00:00.000Z,50.94454320987654,22,2
2019-03-27T23:00:00.000Z,18.113703703703745,22,3
2019-03-27T23:00:00.000Z,54.541827160493796,23,2
2019-03-27T23:00:00.000Z,30.601111111111027,23,3
2019-03-27T23:00:00.000Z,56.57217283950617,24,2
2019-03-27T23:00:00.000Z,22.64004938271601,24,3
2019-03-27T23:00:00.000Z,52.66320987654316,25,2
2019-03-27T23:00:00.000Z,26.600740740740747,25,3
2019-03-27T23:00:00.000Z,54.19839506172845,26,2
2019-03-27T23:00:00.000Z,21.27701234567902,26,3
2019-03-27T23:00:00.000Z,57.15483950617285,28,2
2019-03-27T23:00:00.000Z,27.78967901234568,28,3
2019-03-27T23:00:00.000Z,43.00985185185179,30,2
2019-03-27T23:00:00.000Z,28.42990123456794,30,3
2019-03-27T23:00:00.000Z,56.81693827160488,32,2
2019-03-27T23:00:00.000Z,28.037679012345528,32,3
2019-03-28T00:00:00.000Z,46.76233990147777,17,2
2019-03-28T00:00:00.000Z,19.279999999999923,17,3
2019-03-28T00:00:00.000Z,52.77224137931024,18,2
2019-03-28T00:00:00.000Z,15.99192118226604,18,3
2019-03-28T00:00:00.000Z,51.15502463054184,19,2
2019-03-28T00:00:00.000Z,15.960000000000031,19,3
2019-03-28T00:00:00.000Z,46.414014778325054,20,2
2019-03-28T00:00:00.000Z,16.600000000000104,20,3
2019-03-28T00:00:00.000Z,47.73884236453207,21,2
2019-03-28T00:00:00.000Z,26.25,21,3
2019-03-28T00:00:00.000Z,48.4133497536946,22,2
2019-03-28T00:00:00.000Z,18.242955665024667,22,3
2019-03-28T00:00:00.000Z,54.085172413793074,23,2
2019-03-28T00:00:00.000Z,30.809729064039168,23,3
2019-03-28T00:00:00.000Z,56.910960591132984,24,2
2019-03-28T00:00:00.000Z,22.07310344827572,24,3
2019-03-28T00:00:00.000Z,53.126871921182314,25,2
2019-03-28T00:00:00.000Z,26.213128078817736,25,3
2019-03-28T00:00:00.000Z,56.17605911330052,26,2
2019-03-28T00:00:00.000Z,21.360295566502522,26,3
2019-03-28T00:00:00.000Z,57.24738916256162,28,2
2019-03-28T00:00:00.000Z,27.787339901477843,28,3
2019-03-28T00:00:00.000Z,42.60953201970446,30,2
2019-03-28T00:00:00.000Z,28.57012315270963,30,3
2019-03-28T00:00:00.000Z,56.94967980295566,32,2
2019-03-28T00:00:00.000Z,28.02689655172402,32,3
2019-03-28T01:00:00.000Z,45.10841975308637,17,2
2019-03-28T01:00:00.000Z,19.279999999999927,17,3
2019-03-28T01:00:00.000Z,52.84414814814819,18,2
2019-03-28T01:00:00.000Z,15.960000000000031,18,3
2019-03-28T01:00:00.000Z,51.22916049382714,19,2
2019-03-28T01:00:00.000Z,15.960000000000031,19,3
2019-03-28T01:00:00.000Z,46.17955555555553,20,2
2019-03-28T01:00:00.000Z,16.600000000000104,20,3
2019-03-28T01:00:00.000Z,46.90913580246916,21,2
2019-03-28T01:00:00.000Z,26.24911111111109,21,3
2019-03-28T01:00:00.000Z,48.37417283950614,22,2
2019-03-28T01:00:00.000Z,18.100370370370424,22,3
2019-03-28T01:00:00.000Z,53.7012592592592,23,2
2019-03-28T01:00:00.000Z,30.88446913580249,23,3
2019-03-28T01:00:00.000Z,56.969037037037054,24,2
2019-03-28T01:00:00.000Z,21.672246913580153,24,3
2019-03-28T01:00:00.000Z,52.62056790123457,25,2
2019-03-28T01:00:00.000Z,26.329506172839594,25,3
2019-03-28T01:00:00.000Z,56.830148148148155,26,2
2019-03-28T01:00:00.000Z,21.429160493827144,26,3
2019-03-28T01:00:00.000Z,57.38412345679015,28,2
2019-03-28T01:00:00.000Z,27.747160493827156,28,3
2019-03-28T01:00:00.000Z,42.32659259259265,30,2
2019-03-28T01:00:00.000Z,28.620000000000168,30,3
2019-03-28T01:00:00.000Z,57.017506172839504,32,2
2019-03-28T01:00:00.000Z,28.03412345678999,32,3
2019-03-28T02:00:00.000Z,44.194296296296294,17,2
2019-03-28T02:00:00.000Z,19.279999999999927,17,3
2019-03-28T02:00:00.000Z,52.961407407407336,18,2
2019-03-28T02:00:00.000Z,15.960000000000031,18,3
2019-03-28T02:00:00.000Z,51.32548148148152,19,2
2019-03-28T02:00:00.000Z,15.960000000000031,19,3
2019-03-28T02:00:00.000Z,46.411827160493836,20,2
2019-03-28T02:00:00.000Z,16.600000000000104,20,3
2019-03-28T02:00:00.000Z,46.458197530864176,21,2
2019-03-28T02:00:00.000Z,26.13224691358037,21,3
2019-03-28T02:00:00.000Z,49.2627407407407,22,2
2019-03-28T02:00:00.000Z,18.4080987654321,22,3
2019-03-28T02:00:00.000Z,53.56459259259259,23,2
2019-03-28T02:00:00.000Z,30.768864197530633,23,3
2019-03-28T02:00:00.000Z,57.0991604938272,24,2
2019-03-28T02:00:00.000Z,21.22930864197532,24,3
2019-03-28T02:00:00.000Z,52.792024691358016,25,2
2019-03-28T02:00:00.000Z,26.55718518518507,25,3
2019-03-28T02:00:00.000Z,55.66133333333337,26,2
2019-03-28T02:00:00.000Z,21.420493827160506,26,3
2019-03-28T02:00:00.000Z,57.70698765432096,28,2
2019-03-28T02:00:00.000Z,27.732345679012333,28,3
2019-03-28T02:00:00.000Z,42.68145679012346,30,2
2019-03-28T02:00:00.000Z,28.65911111111125,30,3
2019-03-28T02:00:00.000Z,57.357456790123386,32,2
2019-03-28T02:00:00.000Z,28.035703703703525,32,3
2019-03-28T03:00:00.000Z,43.78311111111138,17,2
2019-03-28T03:00:00.000Z,19.279999999999927,17,3
2019-03-28T03:00:00.000Z,53.08948148148153,18,2
2019-03-28T03:00:00.000Z,15.960000000000031,18,3
2019-03-28T03:00:00.000Z,51.41182716049385,19,2
2019-03-28T03:00:00.000Z,15.960000000000031,19,3
2019-03-28T03:00:00.000Z,46.550222222222175,20,2
2019-03-28T03:00:00.000Z,16.600000000000104,20,3
2019-03-28T03:00:00.000Z,46.414444444444435,21,2
2019-03-28T03:00:00.000Z,26.018913580247165,21,3
2019-03-28T03:00:00.000Z,51.881456790123444,22,2
2019-03-28T03:00:00.000Z,18.19318518518519,22,3
2019-03-28T03:00:00.000Z,53.036592592592584,23,2
2019-03-28T03:00:00.000Z,30.753259259259035,23,3
2019-03-28T03:00:00.000Z,57.04634567901236,24,2
2019-03-28T03:00:00.000Z,21.006938271605073,24,3
2019-03-28T03:00:00.000Z,52.559851851851846,25,2
2019-03-28T03:00:00.000Z,26.586444444444435,25,3
2019-03-28T03:00:00.000Z,55.54925925925921,26,2
2019-03-28T03:00:00.000Z,21.46241975308643,26,3
2019-03-28T03:00:00.000Z,57.54027160493828,28,2
2019-03-28T03:00:00.000Z,27.71320987654325,28,3
2019-03-28T03:00:00.000Z,43.2853827160494,30,2
2019-03-28T03:00:00.000Z,28.695506172839643,30,3
2019-03-28T03:00:00.000Z,57.16987654320991,32,2
2019-03-28T03:00:00.000Z,28.01318518518507,32,3
2019-03-28T04:00:00.000Z,43.76301234567902,17,2
2019-03-28T04:00:00.000Z,19.279999999999927,17,3
2019-03-28T04:00:00.000Z,53.0408888888889,18,2
2019-03-28T04:00:00.000Z,15.960000000000031,18,3
2019-03-28T04:00:00.000Z,51.3640987654321,19,2
2019-03-28T04:00:00.000Z,15.960000000000031,19,3
2019-03-28T04:00:00.000Z,46.90933333333333,20,2
2019-03-28T04:00:00.000Z,16.600000000000104,20,3
2019-03-28T04:00:00.000Z,46.439876543209834,21,2
2019-03-28T04:00:00.000Z,25.99360493827165,21,3
2019-03-28T04:00:00.000Z,48.4388148148148,22,2
2019-03-28T04:00:00.000Z,17.730370370370448,22,3
2019-03-28T04:00:00.000Z,52.623012345679086,23,2
2019-03-28T04:00:00.000Z,30.66600000000011,23,3
2019-03-28T04:00:00.000Z,57.05074074074076,24,2
2019-03-28T04:00:00.000Z,20.788271604938107,24,3
2019-03-28T04:00:00.000Z,52.70367901234568,25,2
2019-03-28T04:00:00.000Z,26.266469135802573,25,3
2019-03-28T04:00:00.000Z,55.18622222222227,26,2
2019-03-28T04:00:00.000Z,21.445901234567938,26,3
2019-03-28T04:00:00.000Z,57.443629629629584,28,2
2019-03-28T04:00:00.000Z,27.68350617283951,28,3
